Name,"River id [Fekete, et al., 2002]",Basin area (km2),Runoff ( km3),DSi (Mg km-2),Ln(Precipitation) (mm day-1),Bulkdensity (Mg m-3),Fraction volcanic rock (-),GAEZ slope (m km-1)
Kazan,69,305390,45.86,0.09,-0.24,1.42,0.03,2.78
Neva,72,286150,49.45,0.03,0.53,1.29,0,5.74
Liao,74,274560,3.4,0.13,0.28,1.51,0.19,12.96
Magdalena,77,250660,209.57,12.71,1.67,1.33,0.35,22.86
Krishna,78,250830,9.91,2.09,0.79,1.54,0.42,9.61
Fraser,83,238450,56.28,1.59,0.75,1.45,0.52,26.27
Anadyr,87,227350,41.71,2.65,-0.01,1.37,0.41,17.76
Yana,88,226560,11.65,0.45,-0.29,1.46,0,22.9
Olenek,89,224820,46.69,0.44,-0.21,1.32,0.03,13.22
Ogooue,93,209220,221.81,8.38,1.63,1.37,0,5.94
Negro (Arg),99,197740,14.64,4.96,-0.27,1.47,0.23,14.46
Wisla,106,181260,14.11,1.38,0.57,1.45,0,8.51
Hong,108,170480,78.26,10.25,1.34,1.41,0.17,36.14
Rhine,110,165600,56.2,1.61,0.92,1.39,0.04,17.67
Koksoak,120,150860,85.1,0.82,0.66,1.32,0.02,5.39
Elbe,121,149080,15.6,0.64,0.54,1.35,0.12,10.74
Chao Phrya,126,141360,51.16,3.94,1.25,1.39,0.02,16.86
Mahanadi,127,140820,63.63,6.18,1.26,1.52,0.01,10.75
Fitzroy East,128,138170,0.11,0.6,0.56,1.58,0.08,5.25
Sanaga,131,128650,197.59,7.15,1.57,1.37,0.02,8.9
Brazos (Tex),135,124970,0.18,0.4,0.64,1.56,0,6.98
Mobile / Alabama,137,124100,27.26,12.13,1.34,1.4,0,10
Burdekin,140,120880,0.09,1.25,0.42,1.57,0.14,5.09
Colorado (Tex),141,121080,0,0.24,0.43,1.61,0,6.87
Loire,143,118600,18.15,1.86,0.75,1.4,0.09,11.37
Kuskokwim,145,116500,19.57,3.7,0.08,1.16,0.03,16.04
Narmada,147,113800,50.46,3.7,1.04,1.57,0.54,10.92
Flinders,150,110020,0.03,0.27,0.14,1.62,0.06,1.96
San Joaquin,153,109490,10.22,3.54,0.35,1.49,0.11,22.74
Back,154,109400,11.35,0.07,-0.46,1.48,0,2.62
Bandama,161,103650,30.55,2.18,1.29,1.45,0,4.76
Po,163,102420,68.89,2.63,1.18,1.43,0.12,27.28
Rhone,165,99537,52.17,2.49,1.08,1.43,0.03,26.28
Anabar,166,99688,22.47,0.45,-0.26,1.23,0.04,10.52
La Grande,167,99362,41.13,1.44,0.67,1.3,0,4.06
Tana (Ken),168,98453,15.88,2.26,0.89,1.47,0.16,9.45
Nemanus,172,97469,13.12,0.41,0.54,1.59,0,6.03
Saguenay,179,92374,42.31,2.58,0.97,1.33,0,8.66
Pur,187,86720,25.93,2.24,0.31,1.05,0,3.38
Penzhina,190,86487,15.21,1.72,0.17,1.31,0.42,19.8
Daugava,193,83810,11.18,0.65,0.55,1.62,0,5.56
Comoe,197,82067,24.83,0.63,1.23,1.48,0.01,5.64
Peel,199,80918,4.26,1.04,-0.43,1.42,0.02,21.04
Cauweri,203,78371,24.46,4.51,1.09,1.5,0.04,12.19
Sepik,206,76709,118.01,19.06,2.08,1.28,0.21,18.63
Sassandra,208,76300,41.35,5.02,1.5,1.4,0,6.75
Mezen,211,76159,19.67,2.13,0.47,1.21,0,6.9
Barito,213,73824,141.72,12.23,2.1,1.27,0.17,9.88
Seine,216,73701,10.39,1.27,0.67,1.43,0,10.11
Gambia,219,71918,20.73,1.26,1.05,1.48,0.11,10.9
Susquehanna,220,72244,17.99,2.45,0.93,1.33,0,20.35
Dnestr,221,72212,3.95,0.61,0.49,1.53,0,14.29
Mitchell,224,70915,12.22,2.88,1.06,1.48,0.12,4.54
Mahakam,225,70775,134.31,15.72,2.12,1.31,0.16,11.42
Fuchun Jiang,240,67131,45.24,3.24,1.34,1.44,0.48,24.17
Tapti,242,66150,10.46,4.43,0.85,1.58,0.75,10.06
Menjiang,243,66129,49.38,11.2,1.5,1.4,0.32,32.94
Maroni,248,64502,108.91,10.03,1.85,1.39,0,7.09
Kuban,251,64027,17.39,0.61,0.88,1.5,0.08,19.22
Fly,261,61149,137.87,19.7,2.34,1.29,0.2,11.45
Sacramento,271,58975,16.5,6.88,0.9,1.43,0.59,21.18
Musi,273,58368,79.21,34.74,1.97,1.25,0.31,6.28
Skeena,275,58650,36.76,4.84,1.01,1.4,0.29,32.56
Seal,279,58361,11.39,0.34,0.13,1.17,0,2.22
Garonne,281,58095,9.83,1.25,0.87,1.4,0.06,21.38
Nadym,283,58176,16.68,2.43,0.33,0.99,0,3.72
Onega,284,58033,13.19,2.05,0.59,1.24,0.04,5.7
Sakarya,286,57112,1.82,1.25,0.33,1.45,0.28,21.58
Anderson,288,56978,5.39,0.2,-0.65,1.23,0,7.06
Guadalquivir,300,53752,1.76,1.95,0.44,1.44,0.07,23.57
Saint John,303,53167,29.31,1.66,1.06,1.25,0.18,14.45
Coppermine,308,52398,4.98,0.34,-0.48,1.34,0.04,4.76
Nueces,312,51369,0,0.24,0.44,1.62,0,7.53
Stikine,313,51580,17.42,5.72,0.65,1.42,0.43,33.13
Kamchatka,318,50842,29.98,7.46,0.76,0.97,0.52,22.9
Luan,333,46560,0,0.37,0.24,1.5,0.17,21.25
Weser,340,45807,10.13,0.99,0.69,1.36,0.01,10.43
Susitna,341,45860,10.78,5.9,0.18,1.25,0.25,27.67
Meuse,353,43488,22.4,3.05,0.91,1.39,0.02,9.37
Hudson,356,43324,19.81,0.81,0.99,1.32,0,17.81
Kobuk,362,42755,4.74,1.77,-0.47,1.18,0.07,18.54
Altamaha,367,41557,2.93,4.18,1.23,1.43,0,8.07
Eastmain,368,41630,17.12,1.86,0.79,1.2,0,4.16
Santee,370,40585,9.31,4.47,1.24,1.39,0.05,13.14
Potomac,380,38452,6.85,2.18,0.97,1.38,0,18.68
Sebou,381,38392,1.2,1.71,0.48,1.47,0.02,32.41
Kymijoki,395,36151,4.39,0.58,0.45,1.12,0,7.1
Savannah,396,35894,9.77,10.47,1.32,1.4,0,12.63
Tornionjoki,404,34884,11.44,2.13,0.33,1.12,0.05,11.96
Dongjiang,411,33852,23.79,10.31,1.58,1.43,0.24,22.21
Purari,415,33628,47.45,37.97,2.1,1.28,0.12,26.21
Mae Klong,419,32794,51.08,6.73,1.89,1.42,0.07,25.44
Klamath,426,32246,4.47,9.32,0.81,1.4,0.7,28.13
Connecticut,430,31594,13.88,3.44,1.03,1.28,0.02,21.12
Dalalven,451,30076,8.48,2.93,0.59,1.09,0.13,12.94
Sabine,467,28917,4.28,1.4,1.16,1.42,0,5.58
Hayes (Arctic),477,28184,5.29,0.3,-0.51,1.48,0.07,6.34
Pee Dee,484,27735,5.77,14.36,1.14,1.4,0.11,10.15
Hanjiang,528,25309,15.96,12.72,1.46,1.43,0.27,25.55
Nyong,537,24576,47.49,2.28,1.72,1.4,0,9.17
Cavally,542,24495,21.55,8.42,1.78,1.39,0,5.32
Tauy,544,24659,6.73,1.91,0.17,1.34,0.56,22.09
Suwannee,558,23900,2.87,2.31,1.31,1.33,0,2.99
Amguema,577,22671,7.2,1.82,0.01,1.44,0.56,28.09
James,583,22042,3.73,6.62,0.99,1.4,0.19,13.51
Suriname,598,21473,25.8,5.98,1.85,1.4,0,5.09
Kikori,603,21411,51.28,24.37,2.4,1.24,0.38,22.08
Moisie,614,21278,11.35,2.42,0.99,1.34,0,13.09
Neches,616,21177,1.83,2.59,1.19,1.42,0,5.32
Delaware,624,20978,6.13,5.26,1.01,1.34,0,14.91
Kennebec,650,19726,12.09,3.87,1.1,1.27,0.23,16.01
Ellice,657,19683,2.72,0.04,-0.53,1.48,0,3.39
Bio Bio,658,19548,11.76,20.03,0.89,1.05,0.29,28.07
Waikato,659,19482,18.17,24.74,1.6,0.94,0.28,14.79
Penobscot,662,19479,9.96,2.63,1.03,1.24,0.27,13.02
Sous,677,18646,0,0.14,-0.19,1.48,0.25,34.5
Minho,703,18281,8.47,2.43,1.2,1.35,0.11,27.62
Tone,738,17407,15.08,10.4,1.34,1.08,0.5,20.97
Thames,743,17395,5.2,2.55,0.68,1.45,0,4.5
Trent,754,17036,5.18,1.83,0.63,1.46,0,3.99
Lielupe,787,15620,2.21,0.46,0.47,1.51,0,4.09
Brantas,812,15261,12.23,49.16,1.57,1.44,0.5,9.19
Konkoure,821,15138,14.78,7.46,1.86,1.32,0.03,15.31
Clutha,822,15231,6.17,2.96,0.95,1.38,0.3,23.73
Kiso,829,15085,18.59,17.71,1.6,1.25,0.21,28.18
Ban Pakong,835,14970,11.06,5.06,1.61,1.38,0,6.82
Shinano,843,14818,13.06,22.16,1.49,1.19,0.49,28.06
Eel,871,14223,7.43,7.35,1.25,1.36,0.11,32.09
Jiulong,883,13984,7.94,16.99,1.39,1.43,0.11,30.38
Adour,902,13479,3.4,8.48,1,1.44,0,14.6
Waitaki,911,13313,17.04,9.41,1.56,1.34,0.13,30.83
Cape Fear,930,12652,1.97,2.69,1.18,1.42,0.14,5.88
Ameca,1021,11540,2.28,7.53,1.16,1.34,0.62,32.76
Rogue,1039,11370,3.99,11.43,1.09,1.33,0.42,33.77
Ishikari,1045,11242,3.76,22.65,1.24,1.22,0.53,19.98
Matanuska,1082,10540,2.78,8.5,0.35,1.24,0.25,27.17
Thjorsa,1146,9462,7.85,25.2,1.11,1.14,0.7,13.44
Kola,1160,9330,4.39,0.85,0.57,1.16,0.11,14.57
Citarum,1184,9170,10.16,24.86,1.78,1.35,0.25,15.66
Cimanuk,1189,9164,14.26,23.41,2,1.18,0.48,21.22
Serayu,1195,9157,19.55,46.94,2.23,1.31,0.28,17.05
Rioni,1209,9150,5.28,4.33,1.33,1.28,0.1,22.56
Umpqua,1236,9005,4.14,12.13,1.07,1.3,0.6,32.6
Venta,1310,8561,2.55,0.55,0.62,1.65,0,5.41
Gauja,1331,8313,1.45,0.74,0.49,1.59,0,4.96
Olfusa,1348,8061,4.15,32.28,0.95,1.1,0.62,13.06
Escambia,1357,7921,1.72,4.95,1.44,1.45,0,8.2
Yodo,1394,7604,5.35,9.68,1.41,1.33,0.03,15.61
Neuse,1398,7573,2.99,3.57,1.26,1.29,0,3.48
Tenryu,1401,7573,9.21,13.24,1.55,1.23,0.21,29.88
Mogami,1441,7255,7.52,30.88,1.5,1.29,0.45,22.11
Kitakami,1452,7188,6.41,18.01,1.32,1.04,0.02,20.96
Tokachi,1490,6804,5.75,37.12,1.24,1.05,0.17,27.08
Inguri,1492,6804,3.91,0.78,1.17,1.38,0.23,39.98
Teshio,1510,6600,4.9,27.03,1.25,1.32,0.3,17.33
Humptulips,1533,6371,6.62,37.83,1.54,1.25,0.27,17.13
Approuague,1602,6140,12.59,17.06,2.11,1.39,0,5.26
Kelantan,1623,6127,10.38,19.13,2.07,1.4,0,13.81
Citanduy,1647,6104,12.19,19.8,2.12,1.44,0.03,9.77
Manavgat,2088,4907,0.62,15.06,0.62,1.44,0,41.98
Agano,2094,4891,5.08,17.54,1.5,1.18,0.57,26.24
Waimakariri,2213,4493,1.77,8.31,0.95,1.28,0,18.13
Quinault,4362,2085,5.6,21.9,2.22,1.2,0.3,25.14
